2025-03-04 19:06:26,427 - INFO - Clock rate for client 2: 1 events per second
2025-03-04 19:07:10,448 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 128 | PHYSICAL TIME: 2025-03-04 19:06:56.00, MESSAGE QUEUE LENGTH: 16

2025-03-04 19:07:11,452 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 129 | PHYSICAL TIME: 2025-03-04 19:06:56.00, MESSAGE QUEUE LENGTH: 16

2025-03-04 19:07:12,494 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 140 | PHYSICAL TIME: 2025-03-04 19:06:59.00, MESSAGE QUEUE LENGTH: 16

2025-03-04 19:07:13,608 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 143 | PHYSICAL TIME: 2025-03-04 19:06:59.00, MESSAGE QUEUE LENGTH: 15

2025-03-04 19:07:14,627 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 145 | PHYSICAL TIME: 2025-03-04 19:07:00.00, MESSAGE QUEUE LENGTH: 16

2025-03-04 19:07:15,716 - INFO - EVENT: Receive Msg | SENDER: 1 | LOGICAL TIME: 147 | PHYSICAL TIME: 2025-03-04 19:07:01.00, MESSAGE QUEUE LENGTH: 17

2025-03-04 19:07:16,760 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 151 | PHYSICAL TIME: 2025-03-04 19:07:01.00, MESSAGE QUEUE LENGTH: 20

2025-03-04 19:07:17,794 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 152 | PHYSICAL TIME: 2025-03-04 19:07:01.00, MESSAGE QUEUE LENGTH: 22

2025-03-04 19:07:18,913 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 153 | PHYSICAL TIME: 2025-03-04 19:07:02.00, MESSAGE QUEUE LENGTH: 25

2025-03-04 19:07:19,959 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 159 | PHYSICAL TIME: 2025-03-04 19:07:03.00, MESSAGE QUEUE LENGTH: 24

2025-03-04 19:07:20,962 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 164 | PHYSICAL TIME: 2025-03-04 19:07:04.00, MESSAGE QUEUE LENGTH: 24

2025-03-04 19:07:22,078 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 167 | PHYSICAL TIME: 2025-03-04 19:07:05.00, MESSAGE QUEUE LENGTH: 23

2025-03-04 19:07:23,131 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 175 | PHYSICAL TIME: 2025-03-04 19:07:07.00, MESSAGE QUEUE LENGTH: 24

2025-03-04 19:07:24,226 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 181 | PHYSICAL TIME: 2025-03-04 19:07:08.00, MESSAGE QUEUE LENGTH: 23

2025-03-04 19:07:25,266 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 187 | PHYSICAL TIME: 2025-03-04 19:07:09.00, MESSAGE QUEUE LENGTH: 24

2025-03-04 19:07:26,319 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 188 | PHYSICAL TIME: 2025-03-04 19:07:10.00, MESSAGE QUEUE LENGTH: 25

2025-03-04 19:07:27,409 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 189 | PHYSICAL TIME: 2025-03-04 19:07:10.00, MESSAGE QUEUE LENGTH: 25

2025-03-04 19:07:28,414 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 197 | PHYSICAL TIME: 2025-03-04 19:07:12.00, MESSAGE QUEUE LENGTH: 24

2025-03-04 19:07:29,482 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 204 | PHYSICAL TIME: 2025-03-04 19:07:13.00, MESSAGE QUEUE LENGTH: 24

2025-03-04 19:07:30,487 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 207 | PHYSICAL TIME: 2025-03-04 19:07:14.00, MESSAGE QUEUE LENGTH: 23

2025-03-04 19:07:31,502 - INFO - EVENT: Receive Msg | SENDER: 3 | LOGICAL TIME: 209 | PHYSICAL TIME: 2025-03-04 19:07:14.00, MESSAGE QUEUE LENGTH: 24

